DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,5,277,2,7,MoMote,Bottom,Close,7060.791,4740.952,2319.839,0
Momote,5,278,2,8,MoMote,Right,Normal,13011.758,11397.383,1614.375,0
Momote,5,279,2,9,MoMote,Left,Far,13516.761,11700.898,1815.863,0
Momote,5,280,2,10,MoMote,Back,Far,13011.38,11800.824,1210.556,0
Momote,5,281,2,11,MoMote,Top,Close,12406.694,10691.992,1714.702,0
Momote,5,282,2,12,MoMote,Top,Far,11499.109,10188.301,1310.808,0
Momote,5,283,2,13,MoMote,Back,Normal,6656.729,4538.973,2117.756,0
Momote,5,284,2,14,MoMote,Bottom,Far,9785.064,8170.663,1614.401,0
Momote,5,285,2,15,MoMote,Right,Far,12005.554,10694.312,1311.242,0
Momote,5,286,2,16,MoMote,Bottom,Close,5345.699,4034.215,1311.484,0
Momote,5,287,2,17,MoMote,Left,Far,9582.046,8372.34,1209.706,0
Momote,5,288,2,18,MoMote,Back,Normal,5749.995,4438.554,1311.441,0
Momote,5,289,2,19,MoMote,Right,Far,11196.563,10288.512,908.051,0
Momote,5,290,2,20,MoMote,Right,Close,6858.61,5346.055,1512.555,0
Momote,5,291,2,21,MoMote,Top,Far,10590.674,9582.132,1008.542,0
Momote,5,292,2,22,MoMote,Left,Close,10792.665,8877.276,1915.389,0
Momote,5,293,2,23,MoMote,Bottom,Normal,4338.237,3127.372,1210.865,0
Momote,5,294,2,24,MoMote,Bottom,Far,8068.663,6757.974,1310.689,0
Momote,5,295,2,25,MoMote,Top,Close,6153.22,4337.631,1815.589,0
Momote,5,296,2,26,MoMote,Left,Normal,8170.417,7464.766,705.651,0
Momote,5,297,2,27,MoMote,Top,Normal,6152.399,4841.519,1310.88,0
Momote,5,298,2,28,MoMote,Back,Far,8877.116,8070.394,806.722,0
Momote,5,299,2,29,MoMote,Right,Normal,6354.984,5143.996,1210.988,0
Momote,5,300,2,30,MoMote,Back,Close,5447.205,4640.623,806.582,0
Momote,6,301,1,1,MoMote,Bottom,Far,17854.834,13719.056,4135.778,0
Momote,6,302,1,2,MoMote,Back,Normal,13414.841,9985.514,3429.327,0
Momote,6,303,1,3,MoMote,Left,Far,20779.002,18761.96,2017.042,0
Momote,6,304,1,4,MoMote,Right,Normal,7968.351,6053.013,1915.338,0
Momote,6,305,1,5,MoMote,Top,Far,12306.845,10288.542,2018.303,0
Momote,6,306,1,6,MoMote,Left,Normal,8271.07,6859.351,1411.719,0
